articleTitle;articleLink
Comparative Study of Test-Driven Development TDD, <b>Behavior</b>-<b>Driven Development BDD </b>and Acceptance Test–Driven Development ATDD;https://www.academia.edu/download/59918587/47_Comparative_Study_of_Test-Driven_Development__TDD___Behavior-Driven_Development__BDD__and_Acceptance_Test-20190702-92470-o453so.pdf
Software startups: Motivations for <b>agile adoption</b>;https://www.researchgate.net/profile/Emmanuel-Mkpojiogu/publication/335284493_Software_Startups_Motivations_for_Agile_Adoption/links/5d5c9e2592851c37636e5177/Software-Startups-Motivations-for-Agile-Adoption.pdf
Analysis of <b>Agile </b>Software Testing, It's <b>Impact </b>on Software Quality and Cost;https://www.mukpublications.com/resources/29.%20IJCIC_%20Research%20paper%205_pagenumber.pdf
An empirical study of post-production software code quality when employing the <b>agile </b>rapid delivery methodology;https://jisar.org/2020-13/n1/JISARv13n1.pdf#page=4
<b>Behavior</b>-<b>Driven Development </b>in Product Configuration Systems;https://www.academia.edu/download/82939471/Final_BDD_CW.pdf
Teaching <b>BDD </b>in Active Learning Environments: A Multi-study Analysis.;https://www.scitepress.org/Papers/2022/110573/110573.pdf
A tailoring criteria model for <b>agile </b>practices <b>adoption</b>;https://www.researchgate.net/profile/Amadeu-Campanelli/publication/309642057_A_Tailoring_Criteria_Model_for_Agile_Practices_Adoption/links/581b2e5a08ae40da2ca8d01c/A-Tailoring-Criteria-Model-for-Agile-Practices-Adoption.pdf
Study of Software Testing Techniques in <b>Agile </b>Development;https://www.researchgate.net/profile/Lokesh-Pemmasani/publication/358242796_Study_of_Software_Testing_Techniques_in_Agile_Development/links/61f7fd8c007fb50447292b91/Study-of-Software-Testing-Techniques-in-Agile-Development.pdf
Generation of Multiple Conceptual Models from User Stories in <b>Agile</b>.;https://ceur-ws.org/Vol-2376/DS-paper1.pdf
Approaching <b>Agile </b>in Medical Device Development;https://content.intland.com/hubfs/pdf/guides-ebooks/Approaching-Agile-in-Medical-Device-Development-Dr-Andreas-Birk-Intland-Software.pdf
Types of <b>Agile</b>;https://apps.dtic.mil/sti/pdfs/AD1183568.pdf
IT governance in scaling <b>agile </b>frameworks;http://fox.leuphana.de/portal/files/15519987/MKWI_172.pdf
Usage, retention, and abandonment of <b>agile </b>practices: A survey and interviews results;https://bibliotekanauki.pl/articles/384126.pdf
<b>Agile </b>Best Practices for Medical Device Development;https://content.intland.com/hubfs/pdf/guides-ebooks/Agile-Best-Practices-for-Medical-Device-Development.pdf
Teaching <b>BDD </b>in Active Learning Environments: A Multi-study Analysis;https://repositorio.pucrs.br/dspace/bitstream/10923/23852/2/Teaching_BDD_in_Active_Learning_Environments_A_Multistudy_Analysis.pdf
A Countrywide Descriptive Survey of <b>Agile </b>Software Development in Brazil;https://library.oapen.org/bitstream/handle/20.500.12657/56981/978-3-031-08169-9.pdf?sequence=1#page=190
Proposta de uso da técnica <b>BDD </b>para otimizar a escrita e automação de testes no framework <b>Scrum</b>;http://hto.ifsp.edu.br/portal/images/thumbnails/images/IFSP/Cursos/Coord_ADS/Arquivos/TCCs/2019/TCC_Dumas_Morais_de_Carvalho.pdf
Study on <b>agile </b>story point estimation techniques and <b>challenges</b>;https://www.researchgate.net/profile/Ravi-Kiran-Mallidi/publication/348545576_Study_on_Agile_Story_Point_Estimation_Techniques_and_Challenges/links/60b48805299bf1f6d5881ca7/Study-on-Agile-Story-Point-Estimation-Techniques-and-Challenges.pdf
Some features of the practical use of the <b>agile </b>testing technologies;https://elib.belstu.by/bitstream/123456789/43086/1/Kuszneruk_Some.pdf
The <b>Impact </b>of Education and Training in Large-scale <b>Agile </b>Transformation;http://jultika.oulu.fi/files/nbnfioulu-202005191964.pdf
Unifying <b>Agile </b>Requirements Specification Quality Control and <b>Implementation </b>Conformance Assurance;http://www.dbd.puc-rio.br/pergamum/tesesabertas/1412735_2018_completo.pdf
Magic Quadrant for Enterprise <b>Agile </b>Planning Tools;https://aptasolutions.com/wp-content/uploads/2020/06/Rally-Software-Gartner-2020.pdf
Supporting Multiple Stakeholders in <b>Agile </b>Development;https://boris.unibe.ch/171928/1/patkar-phd.pdf
DataOps-Towards a Definition.;https://ceur-ws.org/Vol-2191/paper13.pdf
Boosting <b>Agile </b>by Using User-Centered Design andLean Startup: A Case Study of the <b>Adoption </b>of theCombined Approach in Software Development;https://repositorio.pucrs.br/dspace/bitstream/10923/20497/2/Boosting_Agile_by_Using_UserCentered_Design_andLean_Startup_A_Case_Study_of_the_Adoption_of_theCombined_Approach_in.pdf
An example of aquila usage: A dsl for model based testing in <b>agile </b>environments;https://www.pucrs.br/politecnica/wp-content/uploads/sites/166/2018/03/Relat%C3%B3rio-%C2%B4Tecnico-2018.pdf
Behavior-Driven Quality First <b>Agile </b>Testing for Cloud Service;http://article.softengj.com/pdf/10.11648.j.se.20210901.12.pdf
A comparison study of software testing activities in <b>agile </b>methods;https://www.researchgate.net/profile/Samera-Barraood-2/publication/348992540_A_Comparison_Study_of_Software_Testing_Activities_in_Agile_Methods/links/601a29b1a6fdcc37a8fc273c/A-Comparison-Study-of-Software-Testing-Activities-in-Agile-Methods.pdf
Closed Loop <b>Agile </b>Development Delivers Efficiency and Compliance in Industry 4.0 in the Regulated Sector;https://www.researchgate.net/profile/Kausik-Bhattacharya-3/publication/370864797_Closed_Loop_Agile_Development_Delivers_Efficiency_and_Compliance_in_Industry_40_in_the_Regulated_Sector/links/6466744666b4cb4f73bcae72/Closed-Loop-Agile-Development-Delivers-Efficiency-and-Compliance-in-Industry-40-in-the-Regulated-Sector.pdf
<b>Agile </b>Testing in <b>Scrum</b>:-A Study of Major Factors for Successful <b>Agile </b>Testing Implementations in the View of <b>Agile </b>Testers;https://www.diva-portal.org/smash/get/diva2:1462528/FULLTEXT01.pdf
What did I do wrong? An episode on <b>Agile </b>Anti-Patterns;http://sef.aerospace.org/files/2022/06/Presentation-1-What-did-I-do-wrong_-An-episode-on-Agile-Anti-Patterns-OTR-2019-00599.pdf
Testing Strategies in an <b>Agile </b>Context;https://library.oapen.org/bitstream/handle/20.500.12657/22847/1007314.pdf?sequence=1#page=130
Model-Based Testing in <b>Agile </b>Projects: An Approach Based on Domain-Specific Language;https://meriva.pucrs.br/dspace/bitstream/10923/17588/2/Model_Based_Testing_in_Agile_Projects_An_Approach_Based_on_Domain_Specific_Language.pdf
Navigating hybrid <b>scrum </b>environments;https://link.springer.com/content/pdf/10.1007/978-1-4842-4164-6.pdf
A Literature Study on <b>Agile </b>Techniques in the Medical Software Domain;https://hex.cse.kau.se/~jonamagn102/D13_jmagnusson.pdf
ความ สอดคล้อง ของ กระบวนการ ซอฟต์แวร์ และ วัฒนธรรม องค์กร และ ผล กระทบ ต่อ คุณภาพ ของ ซอฟต์แวร์ Fit Between <b>Agile </b>Practices and Organizational Cultures;https://searchlib.utcc.ac.th/library/onlinethesis/301703.pdf
Test and <b>Behavior</b>-<b>driven Development </b>in Software Companies;https://is.muni.cz/th/i01zi/374436_-_Test_and_Behavior-driven_Development_in_Software_Companies.pdf
TMMi® in the <b>Agile </b>Era;https://www.researchgate.net/profile/Erik-Veenendaal/publication/360166603_TMMi_in_the_Agile_Era/links/626654888cb84a40ac88ffd7/TMMi-in-the-Agile-Era.pdf
Developing software as a medical device with an <b>Agile </b>methodology;https://repositorio-aberto.up.pt/bitstream/10216/132653/2/427480.pdf
Maturity Models for <b>Agile</b>, Lean Startup, and User-Centered Design in Software Engineering: A Combined Systematic Literature Mapping.;https://www.scitepress.org/Papers/2020/95824/95824.pdf
<b>Agile </b>Beeswax: Mobile App Development Process and Empirical Study in Real Environment. Sustainability 2021, 13, 1909;https://pdfs.semanticscholar.org/5e1c/eb180f24ddda1aa2e476319e5fe9229e114d.pdf
<b>Agile </b>Testing;https://link.springer.com/content/pdf/10.1007/978-3-030-73209-7.pdf
Maturity Models for <b>Agile</b>, Lean Startup, and User-Centered Design in Software Engineering: A Combined Systematic Literature Mapping;https://repositorio.pucrs.br/dspace/bitstream/10923/20500/2/Maturity_Models_for_Agile_Lean_Startup_and_UserCentered_Design_in_Software_Engineering_A_Combined_Systematic.pdf
Proposal of Enhanced FDD Process Model;https://www.mecs-press.org/ijeme/ijeme-v11-n4/IJEME-V11-N4-5.pdf
Involvement of Multiple Stakeholders in <b>Agile </b>Software Development;https://projekter.aau.dk/projekter/files/281554094/hcc107f18.pdf
Question-based checklist to evaluate <b>BDD </b>scenarios' quality;https://repositorio.pucrs.br/dspace/bitstream/10923/12361/1/000489470-Texto%2BCompleto-0.pdf
Meshing <b>agile </b>and plan-driven development in safety-critical software: a;https://pure.au.dk/ws/files/219023716/Tordrup_2020_Meshing_agile.pdf
Formal ontologies and data shapes within the Software Engineering development lifecycle (TSE);http://ksiresearch.org/seke/seke19paper/seke19paper_114.pdf
