articleTitle;articleLink
eXtreme Programming and SCRUM: A Comparative Analysis of Agile Methods;https://www.researchgate.net/publication/238722567_eXtreme_Programming_and_SCRUM_A_Comparative_Analysis_of_Agile_Methods?_sg=wVc5Z5kbv-JAcA7cg6Dc-sc1RCm1S-oKTB4Kvd6VPE4Dp0nnUz8BN5vAgZrHhBEKbSJ1rTZ9onkeCzc
Pro Agile .NET Development with Scrum;https://www.researchgate.net/publication/321519370_Pro_Agile_NET_Development_with_Scrum?_sg=mANs_DdMTGGTsuGyKbDGHjrLqXQ0Qby9M7w0Pk_UjcdG7gfUS_AbeVnyuzU7Q9wTC7MJaYZmsJ_k-F4
Scrum with eXtreme Programming: An Agile Alternative in Software Development;https://www.researchgate.net/publication/347095132_Scrum_with_eXtreme_Programming_An_Agile_Alternative_in_Software_Development?_sg=LDdvTldQZ_noBmU8IEg33mHYczWlS35IBUFgUtKWXzYxiqq4t1RAxIz7G8VpLexaYsUS90inJI2JyqM
Integrating security into agile models: Scrum, feature-driven development (FDD), and eXtreme programming (XP);https://www.researchgate.net/publication/293119339_Integrating_security_into_agile_models_Scrum_feature-driven_development_FDD_and_eXtreme_programming_XP?_sg=WMh8y7c6YvUNfEf5ucJf5NMIjDpAm_Q1m4eC7NyjUbbV3OKrBtJSQ0rKO5ZVuyHqDMpgK4UITt-0B5Q
Comparative Study within Scrum, Kanban, XP Focused on Their Practices;https://www.researchgate.net/publication/332240953_Comparative_Study_within_Scrum_Kanban_XP_Focused_on_Their_Practices?_sg=8DkKgExOe2eYr-LMY27OEKqXAA_FTViEtbbNNBW0oprv5K4KYcUUFb-xueoMoujYDt_6_zABvE7vPvk
Security Assurance in Agile Software Development Methods: An Analysis of Scrum, XP, and Kanban;https://www.researchgate.net/publication/357496431_Security_Assurance_in_Agile_Software_Development_Methods_An_Analysis_of_Scrum_XP_and_Kanban?_sg=75R5KzKU1bKDZOYe_qXEpDuEFCF0QQXvvMmZR0gpGftRYc0apc-ok3UEFTdq3nPG0XVJyllJUuyl2u4
Comparing Requirements Decomposition Within the Scrum, Scrum with Kanban, XP, and Banana Development Processes;https://www.researchgate.net/publication/316116591_Comparing_Requirements_Decomposition_Within_the_Scrum_Scrum_with_Kanban_XP_and_Banana_Development_Processes?_sg=Rzu-RzNQcRlirBHjuWxYHoxb9dA5V5HHgR_ze3g275jU4Yy3fuBq-8WYLbKcVgO9oRcQL1S1Ek6sXZY
Software Development Model of the Extreme Programming on Scrum for Agile Software Management;https://www.researchgate.net/publication/349704822_Software_Development_Model_of_the_Extreme_Programming_on_Scrum_for_Agile_Software_Management?_sg=ZFlWqJKlk87bdZeskYqtmApEC-f0t8ZJ5K-sIwJRaSM3cv5ATbVM87b2o2xqew534yXiyScoQx2JCiw
Comparative analysis of the board tool in the agile methodologies Scrum, Kanban and Scrumban in software projects;https://www.researchgate.net/publication/364302850_Comparative_analysis_of_the_board_tool_in_the_agile_methodologies_Scrum_Kanban_and_Scrumban_in_software_projects?_sg=tpaT86AHOeLkwdV5nCYHINqey1w90zPp0BECklA4w02VYsPVk2lAsYfHkgZJQl2FxoNNodIa5hYMVHM
EXTREME PROGRAMMING VS SCRUM: A COMPARISON OF AGILE MODELS;https://www.researchgate.net/publication/365118765_EXTREME_PROGRAMMING_VS_SCRUM_A_COMPARISON_OF_AGILE_MODELS?_sg=4tkUCj6JfXxlBDoqhME1RlNVswvFEMxvyWpOFeHsdGyf7hnOS9BbYK1Rt5UuSIJsr0dwkC8bL8739sg
EXTREME PROGRAMMING VS SCRUM: A COMPARISON OF AGILE MODELS;https://www.researchgate.net/publication/365898773_EXTREME_PROGRAMMING_VS_SCRUM_A_COMPARISON_OF_AGILE_MODELS?_sg=ETUhTC3qLw1JeiOtblmu8lIxA1orYTDiWCycG3omOPzshLO_wfy7ddT_D1oMlSS-sF1bTLRl-Bji2ng
XPS-MoSCoW: A Prioritization-Based Hybrid Agile Model of SCRUM and Extreme Programming;https://www.researchgate.net/publication/363090489_XPS-MoSCoW_A_Prioritization-Based_Hybrid_Agile_Model_of_SCRUM_and_Extreme_Programming?_sg=OvUYb4SyALO5FJsVorMDubngqtJuQIslGvKYehnsmMthjkJvmodONKs772tsTAq2eX0vpO4eAVUhn3E
Comparing Communication Effort within the Scrum, Scrum with Kanban, XP, and Banana Development Processes;https://www.researchgate.net/publication/317066299_Comparing_Communication_Effort_within_the_Scrum_Scrum_with_Kanban_XP_and_Banana_Development_Processes?_sg=fmPQquZgYNsnP_jwtTUZBPBNcqRjWNCfd5bReNwaNb85APLX4ORsvZCEuZsb-OiDRzLfqnhaE-itZqc
Comparing Communication Effort within the Scrum, Scrum with Kanban, XP, and Banana Development Processes;https://www.researchgate.net/publication/317063607_Comparing_Communication_Effort_within_the_Scrum_Scrum_with_Kanban_XP_and_Banana_Development_Processes?_sg=QabaFT-vvF6XOJNbHxXAkfjtYeagJHpya6g5Ppi79XNjO2cER2dWEW_ogf-RbJjc7NmSKIXOsn60IaE
A Implantação das metodologias ágeis de desenvolvimento de software scrum e extreme programming(XP): uma alternativa para pequenas empresas do setor de tecnologia da informação;https://www.researchgate.net/publication/321380718_A_Implantacao_das_metodologias_ageis_de_desenvolvimento_de_software_scrum_e_extreme_programmingXP_uma_alternativa_para_pequenas_empresas_do_setor_de_tecnologia_da_informacao?_sg=TkQr8nApwcfGk8-ldqg3-l2tAQicnxPIsUnmUMmPgSRPnGrWBEDUxVBvKq__lez47lbciPNi6ijkKe0
XSR: Novel Hybrid Software Development Model (Integrating XP, Scrum &amp; RUP);https://www.researchgate.net/publication/264093953_XSR_Novel_Hybrid_Software_Development_Model_Integrating_XP_Scrum_RUP?_sg=PWDgACUAC0xPr7LSO1hDOcW2oI7pPgt-5-7k_nXwOhV9SrPis9I5nDMfMRLU2w-6fWbIkiGGd93z3sI
CHOOSING SCRUM OR KANBAN METHODOLOGY FOR PROJECT MANAGEMENT IN IT COMPANIES;https://www.researchgate.net/publication/367047590_CHOOSING_SCRUM_OR_KANBAN_METHODOLOGY_FOR_PROJECT_MANAGEMENT_IN_IT_COMPANIES?_sg=6WSGiiP0p1ov9vwucrsgMHsxi-dorAkaGjzmgC4r2VBkQrelz291Iyr8E8Kt87o6CTNjhIZUUOcYc6Y
ScrumOntoBDD: Agile software development based on scrum, ontologies and behaviour-driven development;https://www.researchgate.net/publication/352367098_ScrumOntoBDD_Agile_software_development_based_on_scrum_ontologies_and_behaviour-driven_development?_sg=6GpH9BvkFD0SMbuuuZoSGc5eJtGrsmJ-qHnIOBVPAzhGkf3HcY--3agxvyWudyS1sORFWM4q7ZQyJFE
A Reference Model Based on Agile Values, Principles and Aspects of Scrum, XP and Kanban to Foster the Adoption of Agility in Industry;https://www.researchgate.net/publication/358886655_A_Reference_Model_Based_on_Agile_Values_Principles_and_Aspects_of_Scrum_XP_and_Kanban_to_Foster_the_Adoption_of_Agility_in_Industry?_sg=r77LaFKBjVzSzNv0GY3iNEAGDMBgp4lKS70qlFf4zrmd20tTfqlxEHXv_opjsYFUY5f1i2r5ihE0vUc
Scrumban: An Agile Integration of Scrum and Kanban in Software Engineering;https://www.researchgate.net/publication/339042026_Scrumban_An_Agile_Integration_of_Scrum_and_Kanban_in_Software_Engineering?_sg=vy1dL8BzpS8FKPCLsvAN1pxYzb6JiTHijN0_t_5SfgWGw6f8IsrMFMijhHM6jVzUP_Vh2S_RPT83_w8
Scrumbanfall: An Agile Integration of Scrum and Kanban with Waterfall in Software Engineering;https://www.researchgate.net/publication/339042133_Scrumbanfall_An_Agile_Integration_of_Scrum_and_Kanban_with_Waterfall_in_Software_Engineering?_sg=V6q90lOuiRNZvF7NZDL530qBcH9oVYzAnWklgYaVPG_LFTtODhSoUcP1aR0Xz_fT5arOOj9-ktTHJ4I
eXSRUP: Hybrid Software Development Model Integrating Extreme Programing, Scrum &amp; Rational Unified Process;https://www.researchgate.net/publication/354670744_eXSRUP_Hybrid_Software_Development_Model_Integrating_Extreme_Programing_Scrum_Rational_Unified_Process?_sg=6Gn-468SJtJw_aXlgUHHV0psd3yMPaPzGdkTyoJvLrpokODUYi9DpOHMSGhxSk2LQcZTZBmlWyNAJLw
ОБЗОР ПОДХОДОВ AGILE, SCRUM, KANBAN, LEAN И СФЕР ИХ ПРИМЕНЕНИЯ;https://www.researchgate.net/publication/347620603_OBZOR_PODHODOV_AGILE_SCRUM_KANBAN_LEAN_I_SFER_IH_PRIMENENIA?_sg=4UzaGLtHd72NhrfEXn71z4ltI58b3CzPMk92CZLmQJoB58hZ5QhxcXCOzEahy2wAXqzwfwhMzcgk53g
Comparing Scrum and XP Agile Methodologies Using Dynamic Simulation Modeling;https://www.researchgate.net/publication/317547244_Comparing_Scrum_and_XP_Agile_Methodologies_Using_Dynamic_Simulation_Modeling?_sg=Y52_GWBAGuBtKgVJmgZfmXJQ_7Iim4fpVqTBTIl37OlnFO5w0IsHzT1ujOxWjNwnCx35nMiS2MvXip8
A Reference Model Based on Agile Values, Principles, and Aspects of Scrum, XP and Kanban to Foster the Adoption of Agility in Industry;https://www.researchgate.net/publication/349773777_A_Reference_Model_Based_on_Agile_Values_Principles_and_Aspects_of_Scrum_XP_and_Kanban_to_Foster_the_Adoption_of_Agility_in_Industry?_sg=fVNYW8PofAiOvEfU2ddw0Sfkdd9w_H7iYmanIbcYkdQWheJao52PTgEoQtkUB6B_FKxtnd8CcL9tWYE
A Comparative Study of Agile Methods: XP versus SCRUM;https://www.researchgate.net/publication/277813128_A_Comparative_Study_of_Agile_Methods_XP_versus_SCRUM?_sg=1JsPKDjyJPHfKajJ2Rjto6uyF6T_RpBEWSKjymxIr_v4yDJunr0wyI6bYoOxlzCFWp5qLTgdNq3S1ZA
Agile Softwareentwicklung mit Scrum und Kanban;https://www.researchgate.net/publication/327801680_Agile_Softwareentwicklung_mit_Scrum_und_Kanban?_sg=H0Sr32QVm6Roc8T3t627x5EOHQOkLHyD4c96qbABe5KDz63qCySgahiK8okWstQHHA99lu1byg6M094
Hybrid Scrum-XP: A Proposed Model based on Effectiveness of Agile Model on Varieties of Software Companies in Bangladesh;https://www.researchgate.net/publication/371110731_Hybrid_Scrum-XP_A_Proposed_Model_based_on_Effectiveness_of_Agile_Model_on_Varieties_of_Software_Companies_in_Bangladesh?_sg=-uxl_deivSy-d871tOHlQXsA4n_N4KjRrQXF3DryiCa627-J81TQPJ6alTIVAUemaZ9nc10GMYKu96c
Enhancements in Scrum Framework using Extreme Programming Practices;https://www.researchgate.net/publication/271284155_Enhancements_in_Scrum_Framework_using_Extreme_Programming_Practices?_sg=nY96oV2EBdU3M6cfRYKMs-pkZr0TUYhmpBitlBsQ2nbkpwz1Nv_NxR_dCDL2qrZCqenVlDVwnZGtI4w
Framework Study for Agile Software Development Via Scrum and Kanban;https://www.researchgate.net/publication/341318650_Framework_Study_for_Agile_Software_Development_Via_Scrum_and_Kanban?_sg=DUGgQWBPtQV56NTjA4c6xxpo-G0W9LB4YqlFZCJB3px9KYqerbtsZsAw5Pzik6coafYdszd8s12fdK0
Key Performance Indicators for Agile Software Development Methodology;https://www.researchgate.net/publication/344489915_Key_Performance_Indicators_for_Agile_Software_Development_Methodology?_sg=OZIwbyhnr4JvRCiffMj6mgVWakQcITbVSyKKXN6NbwwfMFc--h441kuF0t4gwizbf1xUdHv1nDXrqOk
ANALISIS COMPARATIVO DE PROCESOS AGILES: XP, FDD Y SCRUM (Comparative Analysis of Agile Methods: XP, FDD and SCRUM);https://www.researchgate.net/publication/277021709_ANALISIS_COMPARATIVO_DE_PROCESOS_AGILES_XP_FDD_Y_SCRUM_Comparative_Analysis_of_Agile_Methods_XP_FDD_and_SCRUM?_sg=G6jWMvmCAGdUhecxYSrb495HWuPWydUBKf_Ubp2O4MA6mOuEfiOH8wX5824drxdhQM5IVs3wC65qxC4
Success Factors and Challenges in Behavior Driven Development;https://www.researchgate.net/publication/363668821_Success_Factors_and_Challenges_in_Behavior_Driven_Development?_sg=HR6_Ua1s9LcC1EK2LyGT5yIcjA50Wfjay55r86D74sxn7z2sz8dOsLcjiLZ7As0E8CBevta3bSudUfA
A novel risk management model in the Scrum and extreme programming hybrid methodology;https://www.researchgate.net/publication/359452055_A_novel_risk_management_model_in_the_Scrum_and_extreme_programming_hybrid_methodology?_sg=H-YifsoBsCzclGrLGImVG5fEuTg4VNecKReHZkxnzKIGMJL9Mn7D6u94D1w04-7Cpd4Pb23C8Arz9ng
A statistical analysis of the effects of Scrum and Kanban on software development projects;https://www.researchgate.net/publication/304269511_A_statistical_analysis_of_the_effects_of_Scrum_and_Kanban_on_software_development_projects?_sg=FRKzGCsttsupzn8jaLG7oUQ-2G_og-fv88KOXuXnsNyc4vaRmzdqYRbULd5bCiaXrGtyXCBfWV5MJWM
A brief review on: A statistical analysis of the effects of Scrum and Kanban on software development projects;https://www.researchgate.net/publication/354331814_A_brief_review_on_A_statistical_analysis_of_the_effects_of_Scrum_and_Kanban_on_software_development_projects?_sg=-q_HijaXAIXarh6F0wFv0RuJjt6g3O4v1ub1rNCKf1ZvPFm2u_G8oIV_iCxMiN8FVKBtxSA7X_8uVhA
An Empirical Analysis of Task Allocation in Scrum-based Agile Programming;https://www.researchgate.net/publication/268748184_An_Empirical_Analysis_of_Task_Allocation_in_Scrum-based_Agile_Programming?_sg=kQOVZ6xdxbDWkGfYNdR3DnePtPj-sdnBbyKxzCCYmFqvDWJlETYn9BeYKwmNXq3od8xffn2R4NzITHc
Enabling and Limiting factors in eXtreme Programming (XP) with Evaluation Framework;https://www.researchgate.net/publication/335710612_Enabling_and_Limiting_factors_in_eXtreme_Programming_XP_with_Evaluation_Framework?_sg=mDxeNUbxvB3RTNxmH07DYJgvEpLfviXuQCrPQ7tgFv-_BzFVind4JRNssL0IJRuL_vCHe1vIDU5yGZE
Empirical Study of Test Driven Development with Scrum;https://www.researchgate.net/publication/334542373_Empirical_Study_of_Test_Driven_Development_with_Scrum?_sg=gsxzOGYCLGFSbdkfj5kQ8Sz6XN0pGWfyf-Lyns4oCB1m2lOwG8C565ZFt-q6OI8b9UkdHDniJyhJI3E
Implementing Scrum and Kanban Approaches for E-Commerce Web Application: An Agile Framework;https://www.researchgate.net/publication/353014043_Implementing_Scrum_and_Kanban_Approaches_for_E-Commerce_Web_Application_An_Agile_Framework?_sg=ESxEN9JNM9OQe8fyxmu6q-eQXddqNuo87mgQhrFrFlimYeGX1JhM9AqJ2CiQpsCYuGid9IqR6YHqPug
eXtreme Modeling: an approach to agile model-based development;https://www.researchgate.net/publication/340866345_eXtreme_Modeling_an_approach_to_agile_model-based_development?_sg=7lU7ReCKB8MHIkRlyGYQb4QmEpDwEUpOoeLSpbeLvOosGcbtHR7baR_3LdsPqVTkZlydkoGT9MFjSnM
Using Trello to Support Agile and Lean Learning with Scrum and Kanban in Teacher Professional Development;https://www.researchgate.net/publication/330478247_Using_Trello_to_Support_Agile_and_Lean_Learning_with_Scrum_and_Kanban_in_Teacher_Professional_Development?_sg=j0QbkYT220FEaIvrmcXQpXXZGIiHLArWiSb2sxkMGDzFRHGMlWTj0-WZbKsdpnnTdd5DW9lNawERvlk
Secure Agile Software Development with Scrum Strategy;https://www.researchgate.net/publication/369995612_Secure_Agile_Software_Development_with_Scrum_Strategy?_sg=WJypKU3TbYZBw08AmpEg-Rx35BOa0Hxv5eF7Sx3VGGWRcU39gZo77SWb3TLNXta1fOhGiUyFUY11xHY
